neckneck_ratio,forward_lean_z,shoulder_tilt,head_tilt,hand_to_face,pose_x,pose_y,wrist_elevated,label
0.5281,0.8494,0.0849,0.0346,0.4867,-45.3156,-4.3513,1,Leaning on Desk
0.5997,0.5473,0.0333,0.0148,1.5295,-37.151,-2.668,0,Focused
0.4768,1.3785,0.1261,0.0082,1.0254,0.0,0.0,1,Slouching
0.5616,0.6862,0.0387,0.0077,999.0,-57.0232,-33.2242,0,Looking Away
0.5981,0.588,0.1236,0.0768,0.4477,-43.3166,-22.8236,1,Leaning on Desk
0.6356,0.8631,0.1137,0.0335,999.0,-49.0041,163.1339,0,Focused
0.4845,0.6865,0.0363,0.0273,999.0,0.0,0.0,0,Slouching
0.5867,0.9774,0.0931,0.0479,999.0,-45.7453,153.6396,0,Focused
0.6301,0.9002,0.0689,0.0361,999.0,-46.9284,176.2658,0,Focused
0.6318,0.8288,0.0698,0.0166,999.0,-47.1684,175.2926,0,Focused
0.6191,0.4612,0.1266,0.0171,999.0,-23.3367,119.165,0,Looking Away
0.546,0.8218,0.0095,0.0317,1.3466,-26.2471,2.897,1,Focused
0.6292,0.8041,0.017,0.0068,0.5554,-52.3585,5.3199,1,Leaning on Desk
0.5831,0.7078,0.0881,0.0516,999.0,-46.8282,146.317,0,Looking Away
0.5826,0.3896,0.0515,0.0119,999.0,-59.1344,-43.8509,0,Looking Away
0.5597,0.7241,0.0567,0.0567,1.4042,-28.0609,0.633,1,Focused
0.5867,0.7399,0.1644,0.0227,999.0,-42.0316,143.889,0,Looking Away
0.6018,0.5807,0.0655,0.0062,999.0,-44.8119,-141.7395,0,Looking Away
0.4992,0.757,0.1511,0.1708,0.3613,-47.6926,-4.2518,1,Leaning on Desk
0.5815,0.6458,0.1653,0.0143,999.0,-46.2087,141.5623,0,Looking Away
0.1606,0.9762,0.0758,0.0606,999.0,0.0,0.0,0,Slouching
0.64,0.3602,0.0376,0.0,999.0,-33.87,-129.987,0,Looking Away
0.5769,0.661,0.0465,0.0155,999.0,-83.6519,-7.0446,0,Looking Away
0.5649,0.6656,0.0785,0.0302,999.0,-40.8678,145.2,0,Looking Away
0.5954,0.5834,0.0706,0.0123,999.0,-46.8073,-146.401,0,Looking Away
0.5866,0.7153,0.1709,0.0142,999.0,-41.0715,141.5098,0,Looking Away
0.6344,0.5593,0.0072,0.0179,1.3379,-43.4281,-6.4842,1,Focused
0.5801,0.531,0.1653,0.0174,999.0,-24.1829,120.7956,0,Looking Away
0.5779,0.5032,0.1705,0.0202,999.0,0.0,0.0,0,Looking Away
0.6874,0.1765,0.0573,0.0205,1.8895,0.0,0.0,0,Looking Away
0.5708,0.5852,0.0464,0.0535,1.3908,-30.1561,2.1312,1,Focused
0.5831,0.4822,0.1761,0.0202,999.0,-33.2382,121.7703,0,Looking Away
0.6457,0.2956,0.0343,0.0034,999.0,0.0,0.0,0,Looking Away
0.5547,0.8116,0.0038,0.0038,1.3926,-48.4584,0.3903,1,Focused
0.5961,0.4094,0.0788,0.0171,999.0,-34.842,126.4126,0,Looking Away
0.4162,0.8646,0.1217,0.1441,0.317,-40.3192,-10.3628,1,Leaning on Desk
0.5575,0.7051,0.0603,0.0527,1.4214,-28.3182,0.5514,1,Focused
0.5842,0.7079,0.1475,0.026,999.0,-46.2564,139.0075,0,Looking Away
0.5805,0.7906,0.0194,0.029,1.4169,-34.6833,3.7672,0,Focused
0.1087,1.1931,0.0332,0.003,0.3232,0.0,0.0,1,Slouching
0.5761,0.4161,0.0939,0.0125,999.0,-32.5588,125.9883,0,Looking Away
0.5795,0.7487,0.0223,0.0255,1.4052,-32.8565,3.6889,0,Focused
0.4553,0.9523,0.0112,0.014,0.5084,-43.3781,-1.7985,1,Leaning on Desk
0.6011,0.6467,0.0863,0.0498,999.0,-42.9994,148.2492,0,Looking Away
0.4883,1.2065,0.0847,0.0198,999.0,0.0,0.0,0,Slouching
0.3567,1.0469,0.0669,0.053,1.5443,0.0,0.0,0,Slouching
0.0706,1.2958,0.0136,0.0353,0.4478,0.0,0.0,1,Slouching
0.5625,0.7517,0.0132,0.0132,0.4846,-45.8768,10.6053,1,Leaning on Desk
0.553,0.8235,0.0333,0.03,1.3551,-27.1571,-1.5039,1,Focused
0.6052,0.6747,0.0899,0.0484,999.0,-42.241,146.3838,0,Looking Away
0.5006,0.9115,0.0607,0.0607,0.4855,-43.7885,-4.2993,1,Leaning on Desk
0.2838,1.0676,0.088,0.0142,999.0,0.0,0.0,0,Slouching
0.0159,0.5223,0.019,0.0063,999.0,0.0,0.0,0,Slouching
0.7066,0.2605,0.1047,0.0411,1.6565,-39.1716,41.6655,0,Looking Away
0.5763,0.5221,0.17,0.0202,999.0,-27.8051,116.6114,0,Looking Away
0.5733,0.8461,0.1745,0.0343,999.0,-42.2807,143.8804,0,Looking Away
0.5485,0.7231,0.026,0.0454,1.3951,-32.6587,4.3554,1,Focused
0.6923,0.2312,0.0707,0.0335,1.2548,-37.8407,48.6315,1,Looking Away
0.5925,0.8697,0.1574,0.0258,999.0,-51.455,152.7704,0,Looking Away
0.5991,0.6271,0.0861,0.0397,999.0,-41.5066,145.5956,0,Looking Away
0.5831,0.998,0.0981,0.0449,999.0,-45.4359,158.1088,0,Focused
0.5939,0.7427,0.0962,0.0398,999.0,-39.1302,153.3363,0,Looking Away
0.5965,0.6186,0.0734,0.0122,999.0,-46.7693,-150.2952,0,Looking Away
0.5903,0.3772,0.0746,0.0093,999.0,-33.1003,-121.7242,0,Looking Away
0.5936,0.5885,0.0704,0.0122,999.0,-46.3403,-145.1462,0,Looking Away
0.5866,0.6996,0.0886,0.0519,999.0,-45.8414,148.5496,0,Looking Away
0.6003,0.6462,0.1593,0.0256,999.0,-50.0344,148.9085,0,Looking Away
0.7131,0.336,0.1188,0.0498,1.5676,-43.832,35.9833,0,Looking Away
0.6323,0.8639,0.0998,0.0266,999.0,-49.2191,160.9145,0,Focused
0.5414,0.8034,0.0032,0.0446,1.377,-25.5128,2.6435,1,Focused
0.601,0.4266,0.0909,0.0245,999.0,0.0,0.0,0,Looking Away
0.3988,1.23,0.006,0.0272,1.1122,0.0,0.0,0,Slouching
0.5848,0.6243,0.1663,0.0115,999.0,-38.5107,137.6955,0,Looking Away
0.6771,0.3179,0.0362,0.0036,999.0,-44.5144,-37.028,0,Looking Away
0.5591,0.6418,0.0725,0.0242,999.0,-41.0454,139.0734,0,Looking Away
0.655,0.6645,0.0127,0.0095,1.3595,-42.686,2.0198,1,Focused
0.5994,0.4474,0.0795,0.0298,999.0,-29.0737,128.0632,0,Looking Away
0.5733,0.5217,0.0532,0.0152,999.0,-86.7414,-3.8854,0,Looking Away
0.5598,0.6998,0.0557,0.0982,0.4689,-41.9893,2.7782,1,Leaning on Desk
0.5816,0.621,0.169,0.0172,999.0,-44.8191,139.4337,0,Looking Away
0.4823,0.839,0.1012,0.1686,0.3165,-38.8299,-6.3897,1,Leaning on Desk
0.6517,0.258,0.0185,0.0037,999.0,-34.0202,-51.5256,0,Looking Away
0.6902,0.1849,0.0575,0.0205,1.8736,0.0,0.0,0,Looking Away
0.6197,0.5201,0.1253,0.0237,999.0,-48.8986,137.8043,0,Looking Away
0.5823,0.7066,0.0793,0.0457,999.0,-42.6059,149.1696,0,Looking Away
0.0822,1.2267,0.0192,0.0137,999.0,0.0,0.0,0,Slouching
0.5895,0.964,0.0931,0.0479,999.0,-46.1431,157.9508,0,Focused
0.0913,0.3257,0.2485,0.0964,0.391,0.0,0.0,1,Slouching
0.6446,0.2944,0.0276,0.0034,999.0,-34.1174,-128.5516,0,Looking Away
0.6141,0.7858,0.0398,0.01,0.4729,-48.4844,8.0349,1,Leaning on Desk
0.5586,0.6437,0.0706,0.0153,999.0,-40.699,137.4511,0,Looking Away
0.5096,0.79,0.0096,0.0385,0.543,-53.4032,1.4521,1,Leaning on Desk
0.5789,0.684,0.1625,0.0171,999.0,-46.4079,141.7859,0,Looking Away
0.5869,0.5996,0.1681,0.0171,999.0,-45.7689,138.9611,0,Looking Away
0.6073,0.7137,0.0902,0.0451,999.0,-40.9196,151.5638,0,Looking Away
0.617,0.6166,0.1315,0.0067,999.0,-47.1263,147.0842,0,Looking Away
0.5907,0.5296,0.1704,0.0199,999.0,-45.2704,137.0683,0,Looking Away
0.2741,1.419,0.0665,0.0266,999.0,0.0,0.0,0,Slouching
0.6086,0.8021,0.0836,0.0435,999.0,-41.995,155.8223,0,Looking Away
0.5837,0.742,0.1467,0.0259,999.0,-46.5961,140.6726,0,Looking Away
0.6106,0.8266,0.0392,0.0163,0.4835,-49.0524,12.419,1,Leaning on Desk
0.5883,1.003,0.0933,0.0481,999.0,-46.0926,158.1784,0,Focused
0.6301,0.9039,0.0689,0.0361,999.0,-47.2009,176.4007,0,Focused
0.4779,0.9969,0.0205,0.0557,0.4383,-33.8971,-0.7557,1,Leaning on Desk
0.5597,0.7136,0.0567,0.0567,1.4099,-27.649,0.7539,1,Focused
0.5714,0.587,0.0035,0.0383,1.3817,-32.3629,0.5992,1,Focused
0.593,0.9587,0.0908,0.0397,999.0,-43.5887,175.5568,0,Focused
0.6758,0.1914,0.0684,0.0201,1.8636,0.0,0.0,0,Looking Away
0.5696,0.6045,0.0494,0.019,1.4246,-87.3618,-0.5095,1,Looking Away
0.4595,0.8146,0.0217,0.0776,0.4625,-36.7185,0.8016,1,Leaning on Desk
0.7153,0.3005,0.1121,0.0464,1.583,-41.6932,40.0968,0,Looking Away
0.552,0.7367,0.0032,0.0284,1.3677,-31.5396,2.5672,1,Focused
0.6676,0.2947,0.0295,0.0,999.0,-41.6618,-42.391,0,Looking Away
0.4683,1.0961,0.0723,0.0809,0.4668,-37.3786,-1.5612,1,Leaning on Desk
0.4598,0.9051,0.0208,0.0475,0.4936,-38.4238,-2.7107,1,Leaning on Desk
0.5789,0.4199,0.0926,0.0198,999.0,-28.2074,122.5571,0,Looking Away
0.5648,0.7913,0.01,0.0033,0.4897,-46.2594,13.1394,1,Leaning on Desk
0.4689,1.0656,0.0681,0.0109,999.0,0.0,0.0,0,Slouching
0.4546,0.7757,0.1594,0.2476,0.2748,-47.9973,-8.9316,1,Leaning on Desk
0.1019,0.7697,0.116,0.034,999.0,0.0,0.0,0,Slouching
0.57,0.4777,0.1549,0.0146,999.0,0.0,0.0,0,Looking Away
0.5817,0.7782,0.0914,0.0396,999.0,-43.4663,150.7887,0,Looking Away
0.5049,0.809,0.1147,0.1377,0.4,-46.7811,-3.4553,1,Leaning on Desk
0.5589,0.789,0.0152,0.0038,1.346,-48.9453,0.5534,1,Focused
0.0395,0.4936,0.0263,0.0132,999.0,0.0,0.0,0,Slouching
0.4585,0.8593,0.0384,0.0275,0.5174,-53.0979,-4.6944,1,Leaning on Desk
0.5509,0.7845,0.0151,0.0113,1.2076,-57.0079,-1.3028,1,Focused
