neckneck_ratio,forward_lean_z,shoulder_tilt,head_tilt,hand_to_face,pose_x,pose_y,wrist_elevated,has_phone,label
0.6091,0.7421,0.0451,0.029,1.4119,-37.7915,2.7942,1,0,Focused
0.5605,0.6131,0.0369,0.0516,1.3521,-31.4509,1.0922,1,0,Focused
0.6424,0.6101,0.0032,0.0127,1.3443,-43.27,1.6486,1,0,Focused
0.0775,1.0565,0.0496,0.0434,0.6423,0.0,0.0,1,0,Slouching
0.5617,0.8609,0.0065,0.0,0.475,-51.873,-13.9865,1,0,Leaning on Desk
0.0554,0.3187,0.2251,0.0443,999.0,0.0,0.0,0,0,Slouching
0.4484,0.9621,0.0139,0.0167,0.5105,-41.5824,-2.0141,1,0,Leaning on Desk
0.6401,0.6587,0.0064,0.0159,1.3359,-43.3385,2.6661,1,0,Focused
0.5997,0.5473,0.0333,0.0148,1.5295,-37.151,-2.668,0,0,Focused
0.3808,1.5346,0.0536,0.0169,0.628,0.0,0.0,1,0,Slouching
0.651,0.5243,0.018,0.018,1.358,-46.9324,0.6883,1,0,Focused
0.5289,0.8181,0.0893,0.0172,1.3859,-23.9003,-1.9893,1,0,Focused
0.4154,1.5493,0.1113,0.0027,0.7432,0.0,0.0,1,0,Slouching
0.5021,0.8253,0.1071,0.1707,0.3502,-41.6165,-6.6525,1,0,Leaning on Desk
0.5401,0.8209,0.0193,0.0129,0.4949,-43.6433,-13.3418,1,0,Leaning on Desk
0.3599,1.0984,0.0654,0.0409,999.0,0.0,0.0,0,0,Slouching
0.685,0.3027,0.0222,0.0037,999.0,-43.5685,-39.4047,0,0,Looking Away
0.5407,0.6633,0.0373,0.041,1.3478,-25.6361,0.3462,1,0,Focused
0.711,0.203,0.1304,0.0395,1.7144,-35.45,49.5851,0,0,Looking Away
0.5066,0.7617,0.0779,0.0422,0.4618,-41.9319,-8.7152,1,0,Leaning on Desk
0.0606,0.9628,0.0303,0.0252,999.0,0.0,0.0,0,0,Slouching
0.568,0.834,0.026,0.0097,0.4898,-45.6223,-12.7264,1,0,Leaning on Desk
0.6401,0.66,0.0032,0.0191,1.3355,-43.4642,2.0602,1,0,Focused
0.2857,1.1142,0.0577,0.0202,999.0,0.0,0.0,0,0,Slouching
0.5196,0.7228,0.0669,0.1466,0.489,-47.1013,-3.1074,1,0,Leaning on Desk
0.0177,1.3286,0.1062,0.0118,0.2858,0.0,0.0,1,0,Slouching
0.3305,1.3704,0.0407,0.028,999.0,0.0,0.0,0,0,Slouching
0.666,0.1996,0.0447,0.0203,1.9984,0.0,0.0,0,0,Looking Away
0.1566,0.8176,0.037,0.0,999.0,0.0,0.0,0,0,Slouching
0.7114,0.2873,0.0899,0.0412,1.6943,-40.7855,40.4686,0,0,Looking Away
0.4372,1.3341,0.0962,0.0165,0.676,0.0,0.0,1,0,Slouching
0.118,0.7894,0.0489,0.023,999.0,0.0,0.0,0,0,Slouching
0.4571,0.9547,0.0143,0.0257,0.452,-45.8902,-0.7564,1,0,Leaning on Desk
0.0423,1.3309,0.0453,0.0423,0.7743,0.0,0.0,1,0,Slouching
0.0203,0.6006,0.0371,0.0203,999.0,0.0,0.0,0,0,Slouching
0.571,0.6386,0.0393,0.05,1.3835,-32.5215,1.2437,1,0,Focused
0.6831,0.2779,0.0324,0.0036,999.0,-40.278,-44.2649,0,0,Looking Away
0.6751,0.2915,0.0182,0.0036,999.0,-41.4878,-38.7248,0,0,Looking Away
0.0631,0.3939,0.2187,0.1009,0.7445,0.0,0.0,1,0,Slouching
0.0296,1.2369,0.1131,0.0027,999.0,0.0,0.0,0,0,Slouching
0.546,0.7972,0.0063,0.0444,1.3677,-25.9981,2.3779,1,0,Focused
0.0749,0.9168,0.0288,0.023,999.0,0.0,0.0,0,0,Slouching
0.6277,0.7787,0.0194,0.0194,1.4311,-37.7305,3.1684,1,0,Focused
0.6605,0.2953,0.018,0.0,999.0,-41.9844,-40.5251,0,0,Looking Away
0.5431,0.8245,0.0064,0.0447,1.3838,-28.0906,2.6965,1,0,Focused
0.7095,0.2839,0.0371,0.0,999.0,-41.7976,-40.2531,0,0,Looking Away
0.4215,0.7711,0.0437,0.0437,999.0,0.0,0.0,0,0,Slouching
0.5694,0.6098,0.0035,0.0382,1.3769,-33.6663,0.9491,1,0,Focused
0.5649,0.5889,0.0035,0.0421,1.3652,-32.3785,-0.1667,1,0,Focused
0.1515,0.8288,0.0449,0.0168,999.0,0.0,0.0,0,0,Slouching
0.5986,0.7809,0.0247,0.0278,1.6793,-36.3559,0.9473,0,0,Focused
0.262,1.0524,0.0797,0.0171,999.0,0.0,0.0,0,0,Slouching
0.5086,0.88,0.0,0.0287,0.4149,-44.176,0.7653,1,0,Leaning on Desk
0.077,0.5256,0.1614,0.0734,0.0593,0.0,0.0,1,0,Slouching
0.5332,0.7082,0.0373,0.041,1.3292,-26.3351,-0.2658,1,0,Focused
0.5593,0.6913,0.0563,0.0525,1.4188,-27.7453,1.0849,1,0,Focused
0.6689,0.2211,0.0363,0.0121,1.7248,-31.7057,61.3109,0,0,Looking Away
0.57,0.8589,0.0065,0.0033,0.4895,-51.6188,-10.6929,1,0,Leaning on Desk
0.006,0.4595,0.006,0.0358,999.0,0.0,0.0,0,0,Slouching
0.1717,0.9202,0.1194,0.0261,999.0,0.0,0.0,0,0,Slouching
0.4706,0.9336,0.097,0.0285,999.0,0.0,0.0,0,0,Slouching
0.4665,1.035,0.0811,0.0898,0.4643,-37.8886,-0.1936,1,0,Leaning on Desk
0.0884,0.7658,0.0413,0.0914,999.0,0.0,0.0,0,0,Slouching
0.561,0.6107,0.047,0.047,1.5148,-33.7846,1.4324,0,0,Focused
0.5449,0.798,0.0032,0.0449,1.3879,-28.6195,2.8949,1,0,Focused
0.4566,0.8675,0.0028,0.0084,0.5046,-46.225,-3.0202,1,0,Leaning on Desk
0.5917,0.7221,0.085,0.0238,1.5551,-37.1456,0.9429,0,0,Focused
0.5068,0.6466,0.0669,0.0765,0.4125,-45.9383,3.9889,1,0,Leaning on Desk
0.6368,0.5374,0.0296,0.0074,1.4727,-39.7715,1.0652,0,0,Focused
0.4187,0.8103,0.1205,0.1205,0.3457,-41.1099,-9.5207,1,0,Leaning on Desk
0.0027,1.1865,0.0054,0.0434,0.371,0.0,0.0,1,0,Slouching
0.0988,0.9347,0.068,0.0216,0.3683,0.0,0.0,1,0,Slouching
0.2979,0.9497,0.1012,0.059,999.0,0.0,0.0,0,0,Slouching
0.6344,0.5273,0.0036,0.0179,1.346,-42.3182,-7.1344,1,0,Focused
0.3137,0.9308,0.0308,0.0461,0.722,0.0,0.0,1,0,Slouching
0.6396,0.5158,0.0147,0.0037,1.4419,-43.542,4.8986,0,0,Focused
0.5467,0.7624,0.0259,0.0453,1.3966,-31.1879,3.9371,1,0,Focused
0.5663,0.9143,0.0097,0.0065,0.4832,-50.0731,-9.9416,1,0,Leaning on Desk
0.3262,1.0538,0.0613,0.0167,999.0,0.0,0.0,0,0,Slouching
0.5,0.923,0.0029,0.0376,0.4161,-37.5278,-1.1091,1,0,Leaning on Desk
0.0729,1.2184,0.0297,0.0324,999.0,0.0,0.0,0,0,Slouching
0.5462,0.8999,0.04,0.0333,0.5397,-42.5013,10.2943,1,0,Leaning on Desk
0.6695,0.3402,0.0461,0.0142,999.0,-46.4162,-32.8302,0,0,Looking Away
0.4735,1.0045,0.0941,0.0257,999.0,0.0,0.0,0,0,Slouching
0.3484,1.2464,0.0198,0.0,999.0,0.0,0.0,0,0,Slouching
0.0191,1.0717,0.0318,0.0255,0.5355,0.0,0.0,1,0,Slouching
0.5466,0.746,0.0979,0.1169,0.6185,-49.423,-0.3848,1,0,Leaning on Desk
0.3573,1.1692,0.0748,0.0526,1.5478,0.0,0.0,0,0,Slouching
0.5427,0.8293,0.0819,0.0102,1.4079,-28.3391,-1.1591,0,0,Focused
0.6444,0.5166,0.0148,0.0037,1.4473,-42.7392,1.5271,0,0,Focused
0.6449,0.7969,0.0239,0.0102,0.5671,-51.6378,6.015,1,0,Leaning on Desk
0.054,0.9832,0.0783,0.0162,999.0,0.0,0.0,0,0,Slouching
0.1847,0.9954,0.0117,0.0147,999.0,0.0,0.0,0,0,Slouching
0.0922,0.317,0.1403,0.0521,0.572,0.0,0.0,1,0,Slouching
0.5154,0.7037,0.0624,0.1018,0.4117,-49.1431,2.6518,1,0,Leaning on Desk
0.5649,0.8681,0.0065,0.0032,0.4839,-51.2509,-11.4132,1,0,Leaning on Desk
0.7003,0.3895,0.0815,0.0371,1.422,-44.679,36.3381,0,0,Looking Away
0.5511,0.6713,0.1311,0.1378,0.4692,-40.0585,-14.854,1,0,Leaning on Desk
0.0985,0.5568,0.2392,0.1266,0.7651,0.0,0.0,1,0,Slouching
0.6146,0.788,0.0291,0.0226,1.4057,-37.5755,2.7633,1,0,Focused
0.6367,0.5356,0.0072,0.018,1.3427,-43.219,0.0809,1,0,Focused
0.7117,0.1954,0.1022,0.0315,1.4991,-37.8103,47.9798,0,0,Looking Away
0.4626,0.8809,0.033,0.022,0.5225,-49.8537,-3.3211,1,0,Leaning on Desk
0.6073,0.5481,0.0559,0.0186,1.3986,-35.9606,1.6756,1,0,Focused
0.5704,0.7698,0.0131,0.0229,0.4959,-47.7474,10.9985,1,0,Leaning on Desk
0.6101,0.8203,0.0396,0.0132,0.4759,-52.2591,8.2892,1,0,Leaning on Desk
0.629,0.6781,0.0,0.0194,1.3598,-41.2017,1.2286,1,0,Focused
0.5856,0.9585,0.0226,0.0518,0.5498,-26.4417,-0.5109,1,0,Focused
0.4183,1.6477,0.1086,0.0,0.775,0.0,0.0,1,0,Slouching
0.5296,0.7034,0.1282,0.1282,0.3967,-47.677,-7.3115,1,0,Leaning on Desk
0.5448,0.7851,0.0096,0.0449,1.392,-30.1538,3.5613,1,0,Focused
0.5685,0.7448,0.0229,0.0261,0.494,-48.9912,9.675,1,0,Leaning on Desk
0.4025,1.2228,0.1035,0.0316,0.5998,0.0,0.0,1,0,Slouching
0.4455,1.3049,0.1011,0.0164,0.5258,0.0,0.0,1,0,Slouching
0.0396,1.2723,0.0706,0.017,0.2163,0.0,0.0,1,0,Slouching
0.1404,0.8409,0.0112,0.0028,999.0,0.0,0.0,0,0,Slouching
0.4119,0.8386,0.1181,0.1405,0.3161,-40.0954,-6.0426,1,0,Leaning on Desk
0.5795,0.7384,0.0223,0.0287,1.3938,-33.7006,3.6412,1,0,Focused
0.0029,0.7414,0.1024,0.0673,0.6385,0.0,0.0,0,0,Slouching
0.5106,0.9504,0.0122,0.0091,0.4284,-46.023,-4.3743,1,0,Leaning on Desk
0.4714,1.0305,0.0989,0.096,0.4781,-35.3956,-0.4688,1,0,Leaning on Desk
0.5803,0.7496,0.0252,0.0284,1.3982,-33.5188,2.3698,0,0,Focused
0.0478,0.8599,0.0084,0.0028,999.0,0.0,0.0,0,0,Slouching
0.06,0.9957,0.048,0.042,0.2133,0.0,0.0,1,0,Slouching
0.5272,0.8798,0.0068,0.051,0.463,-33.4284,8.6717,1,0,Leaning on Desk
0.5486,0.7849,0.0303,0.0269,1.3672,-29.2226,-0.845,1,0,Focused
0.6398,0.6839,0.0129,0.0129,1.4255,-45.1787,1.3303,1,0,Focused
0.0488,0.7299,0.0431,0.0287,0.3545,0.0,0.0,1,0,Slouching
0.4825,1.1133,0.088,0.0255,999.0,0.0,0.0,0,0,Slouching
0.0208,0.7715,0.099,0.013,999.0,0.0,0.0,0,0,Slouching
0.71,0.2298,0.1222,0.042,1.3608,-38.0679,44.2799,0,0,Looking Away
0.5649,0.5811,0.0035,0.0421,1.3682,-31.0659,0.4637,1,0,Focused
0.0087,0.6888,0.0524,0.0,999.0,0.0,0.0,0,0,Slouching
0.5632,0.5605,0.04,0.0363,1.3347,-31.8515,1.5487,1,0,Focused
0.598,0.7091,0.019,0.019,1.415,-39.7248,4.0588,0,0,Focused
0.6567,0.2705,0.0184,0.0037,999.0,-39.7732,-48.2258,0,0,Looking Away
0.0484,0.8724,0.0399,0.0256,999.0,0.0,0.0,0,0,Slouching
0.6145,0.5989,0.0296,0.0111,1.4942,-33.9168,-0.6329,0,0,Focused
0.5369,0.7006,0.0373,0.041,1.3372,-25.95,-0.1169,1,0,Focused
0.5928,0.6878,0.0896,0.0276,1.5285,-37.1038,1.2734,0,0,Focused
0.6475,0.2658,0.0072,0.0072,999.0,-28.2997,-53.6919,0,0,Looking Away
0.1425,0.8908,0.0712,0.0079,999.0,0.0,0.0,0,0,Slouching
0.5714,0.7405,0.0133,0.0332,1.3552,-34.3292,0.5087,1,0,Focused
0.5684,0.6223,0.0,0.0386,1.3576,-31.9982,0.6596,1,0,Focused
0.4142,0.8149,0.1201,0.1296,0.3351,-40.2324,-10.9028,1,0,Leaning on Desk
0.1389,1.0163,0.0732,0.0404,999.0,0.0,0.0,0,0,Slouching
0.099,0.9624,0.0903,0.0262,0.7546,0.0,0.0,0,0,Slouching
0.5575,0.8816,0.0513,0.0445,0.5591,-43.2404,8.9832,1,0,Leaning on Desk
0.6476,0.643,0.0032,0.0095,1.3471,-43.7771,1.7389,1,0,Focused
0.5648,0.7913,0.01,0.0033,0.4897,-46.2594,13.1394,1,0,Leaning on Desk
0.5414,0.8045,0.0032,0.0446,1.3794,-25.8871,2.8373,1,0,Focused
0.7069,0.2794,0.037,0.0,999.0,-41.3712,-40.8441,0,0,Looking Away
0.5474,0.6531,0.122,0.1418,0.4604,-40.5352,-13.489,1,0,Leaning on Desk
0.6049,0.5276,0.0594,0.0186,1.3818,-36.0415,0.6898,1,0,Focused
0.655,0.6566,0.0127,0.0095,1.3639,-42.752,1.6536,1,0,Focused
0.104,0.7417,0.0956,0.0169,999.0,0.0,0.0,0,0,Slouching
0.5732,0.8527,0.013,0.0163,0.4625,-49.6005,-3.0951,1,0,Leaning on Desk
0.0317,1.2192,0.1095,0.0144,0.2302,0.0,0.0,1,0,Slouching
0.5028,1.0508,0.0114,0.0114,0.9274,-50.8221,-1.3515,1,0,Leaning on Desk
0.1056,1.0124,0.1142,0.0114,999.0,0.0,0.0,0,0,Slouching
0.5122,0.6788,0.0587,0.1044,0.4031,-49.3278,2.4956,1,0,Leaning on Desk
0.4976,0.696,0.057,0.0887,0.3947,-49.9372,1.093,1,0,Leaning on Desk
0.6118,0.7344,0.0449,0.0346,0.6415,-36.0185,6.78,1,0,Focused
0.6301,0.7513,0.0297,0.0033,0.5357,-49.5609,10.8345,1,0,Leaning on Desk
